ID,ACORN_Category
MAC002091,Rising Prosperity
MAC000791,Rising Prosperity
MAC002082,Rising Prosperity
MAC002114,Rising Prosperity
MAC000817,Rising Prosperity
MAC002145,Rising Prosperity
MAC000320,Rising Prosperity
MAC002204,Rising Prosperity
MAC002203,Rising Prosperity
MAC002202,Rising Prosperity
MAC002200,Rising Prosperity
MAC000521,Rising Prosperity
MAC000523,Rising Prosperity
MAC000525,Rising Prosperity
MAC000544,Rising Prosperity
MAC000561,Rising Prosperity
MAC000095,Rising Prosperity
MAC002187,Rising Prosperity
MAC002184,Rising Prosperity
MAC000673,Rising Prosperity
MAC002180,Rising Prosperity
MAC000628,Rising Prosperity
MAC002172,Rising Prosperity
MAC002171,Rising Prosperity
MAC000633,Rising Prosperity
MAC002165,Rising Prosperity
MAC002162,Rising Prosperity
MAC000640,Rising Prosperity
MAC002160,Rising Prosperity
MAC000665,Rising Prosperity
MAC002158,Rising Prosperity
MAC000666,Rising Prosperity
MAC000672,Rising Prosperity
MAC002179,Rising Prosperity
MAC000819,Rising Prosperity
MAC002078,Rising Prosperity
MAC000822,Rising Prosperity
MAC000994,Rising Prosperity
MAC001004,Rising Prosperity
MAC001013,Rising Prosperity
MAC001995,Rising Prosperity
MAC001014,Rising Prosperity
MAC001015,Rising Prosperity
MAC001990,Rising Prosperity
MAC000327,Rising Prosperity
MAC001987,Rising Prosperity
MAC001024,Rising Prosperity
MAC001979,Rising Prosperity
MAC001978,Rising Prosperity
MAC002002,Rising Prosperity
MAC001030,Rising Prosperity
MAC001970,Rising Prosperity
MAC001075,Rising Prosperity
MAC001087,Rising Prosperity
MAC001963,Rising Prosperity
MAC001962,Rising Prosperity
MAC001960,Rising Prosperity
MAC000330,Rising Prosperity
MAC001957,Rising Prosperity
MAC001096,Rising Prosperity
MAC001954,Rising Prosperity
MAC001097,Rising Prosperity
MAC001950,Rising Prosperity
MAC001972,Rising Prosperity
MAC000993,Rising Prosperity
MAC000991,Rising Prosperity
MAC002007,Rising Prosperity
MAC000828,Rising Prosperity
MAC002072,Rising Prosperity
MAC000321,Rising Prosperity
MAC002066,Rising Prosperity
MAC002064,Rising Prosperity
MAC000851,Rising Prosperity
MAC002058,Rising Prosperity
MAC000868,Rising Prosperity
MAC000877,Rising Prosperity
MAC000878,Rising Prosperity
MAC000895,Rising Prosperity
MAC002047,Rising Prosperity
MAC000910,Rising Prosperity
MAC002042,Rising Prosperity
MAC000935,Rising Prosperity
MAC000939,Rising Prosperity
MAC000942,Rising Prosperity
MAC000945,Rising Prosperity
MAC002027,Rising Prosperity
MAC002026,Rising Prosperity
MAC000324,Rising Prosperity
MAC000982,Rising Prosperity
MAC002019,Rising Prosperity
MAC002018,Rising Prosperity
MAC002016,Rising Prosperity
MAC000325,Rising Prosperity
MAC002008,Rising Prosperity
MAC000500,Rising Prosperity
MAC002207,Rising Prosperity
MAC000497,Rising Prosperity
MAC002210,Rising Prosperity
MAC005455,Rising Prosperity
MAC005457,Rising Prosperity
MAC005459,Rising Prosperity
